chr20	21284555	21284605	8
chr9	84300909	84300959	3
chr11	12520761	12520811	1
chr9	97681871	97681921	1
chr16	89638709	89638759	9
chr12	49785907	49785957	8
chr20	34195463	34195513	0
chr7	26693551	26693601	2
chr5	90354604	90354654	3
chr7	138144481	138144531	9
chr5	140372655	140372705	9
chr12	54560474	54560524	3
chr5	55575994	55576044	2
chr15	66944773	66944823	3
chr7	73879389	73879439	3
chr7	20784581	20784631	0
chr12	71105719	71105769	9
chr17	29836013	29836063	8
chr20	50331809	50331859	3
chr15	71185474	71185525	4
chr3	16939224	16939274	8
chr18	75414697	75414747	8
chr2	12190634	12190684	1
chr10	121855591	121855641	2
chr5	150226832	150226883	4
chr6	55692750	55692800	2
chr7	108493836	108493886	8
chr7	19891290	19891340	8
chr7	75719148	75719199	5
chr3	12894976	12895026	2
chr19	13733642	13733692	3
chr21	16920061	16920111	8
chr17	43978507	43978557	2
chr8	132378260	132378311	5
chr14	73393028	73393079	5
chr20	14859834	14859884	3
chr5	14664262	14664312	2
chr5	127457605	127457655	0
chr6	108533012	108533062	3
chr17	59277088	59277138	2
chr20	44501528	44501578	9
chr6	42420511	42420561	9
chr1	95561487	95561537	0
chr2	236504236	236504287	4
chr3	72988039	72988089	8
chr16	12009901	12009951	2
chr16	68001389	68001439	0
chr3	124505772	124505822	3
chr6	132147319	132147369	8
chr8	224454	224504	3
chr6	15390711	15390762	4
chr6	126385908	126385958	3
chr9	15511273	15511323	0
chr12	111142708	111142759	4
chr1	116991644	116991694	0
chr17	57518312	57518363	4
chr15	41310656	41310706	2
chr9	115090528	115090578	1
chr17	76870182	76870232	0
chr1	151696478	151696528	9
chr11	84669447	84669497	3
chr5	117475256	117475306	8
chr15	40347655	40347705	0
chr1	217598414	217598464	3
chr12	14667343	14667394	4
chr10	126713370	126713420	8
chr13	109747496	109747546	8
chr12	123402266	123402317	5
chr3	94678093	94678143	2
chr8	101707579	101707629	3
chr5	71228733	71228783	2
chr7	157028874	157028924	9
chr8	99411381	99411431	3
chr9	112852137	112852187	8
chr11	61739263	61739314	5
chr2	36981948	36981998	1
chr7	30375847	30375897	1
chr21	40185491	40185541	9
chr6	13726023	13726073	8
chr16	73301198	73301248	3
chr1	168876408	168876458	3
chr3	118817635	118817686	4
chr8	102600142	102600193	5
chr1	223174269	223174320	5
chr1	27028946	27028996	2
chr20	14035950	14036001	4
chr2	44683181	44683231	2
chr6	1243738	1243788	3
chr15	89714874	89714925	4
chr2	75120290	75120340	3
chr15	83955029	83955079	2
chr1	222763117	222763167	2
chr14	35874646	35874697	5
chr5	1010342	1010392	1
chrX	22693247	22693297	9
chr1	113248086	113248136	9
chr21	45554715	45554766	5
chr2	6056277	6056327	3
chr1	152025192	152025243	4
chr12	58119974	58120025	4
chr7	83278408	83278458	3
chr2	55052178	55052229	5
chr6	107830908	107830958	2
chr14	26092115	26092166	5
chr10	101039357	101039407	3
chr2	40478404	40478454	2
chr14	89704458	89704509	5
chr1	109354613	109354664	5
chr6	149564215	149564265	1
chr8	105089925	105089975	3
chr7	44078969	44079019	3
chr7	99601735	99601785	3
chr5	114709982	114710032	2
chr12	56553325	56553375	1
chr7	112023719	112023769	2
chr19	43702981	43703032	4
chrX	100150515	100150566	4
chr10	72895045	72895095	8
chr6	11428317	11428367	3
chr4	3673741	3673791	3
chr6	131687537	131687587	3
chr11	78808703	78808753	1
chr1	26448646	26448696	1
chr20	18964588	18964638	3
chr2	221092323	221092373	8
chr3	32086956	32087006	3
chr1	168596795	168596845	3
chr14	34770511	34770562	4
chr6	119805914	119805964	2
chr17	41985547	41985597	8
chr19	46172467	46172517	7
chr11	34078704	34078754	9
chr14	55894182	55894233	5
chr5	61988512	61988562	9
chr2	163846166	163846216	7
chr4	106009762	106009812	8
chr8	102769352	102769402	3
chr7	40772989	40773039	9
chr2	100190695	100190745	9
chr12	107368437	107368487	3
chr1	85680585	85680635	3
chr21	36702398	36702448	3
chr10	52548855	52548905	6
chr9	80659098	80659148	9
chr12	107038820	107038870	2
chr3	15797477	15797527	1
chrX	24168261	24168311	3
chr1	193075173	193075224	5
chr11	68530909	68530959	2
chr5	78489757	78489807	8
chr14	34551187	34551237	3
chr1	217139789	217139840	5
chr10	111896964	111897015	4
chr9	35180117	35180167	3
chr8	134885331	134885381	0
chr8	42350034	42350084	8
chr12	56915495	56915545	9
chr16	79338194	79338244	0
chr11	65309336	65309386	8
chr11	29365442	29365493	4
chr2	58109138	58109188	8
chr15	64978491	64978542	4
chr5	123932738	123932788	9
chr21	41690886	41690936	0
chr8	73232210	73232261	4
chr3	195101873	195101924	5
chr17	60130345	60130395	9
chr7	36077044	36077094	3
chr6	1296362	1296412	9
chr8	126540874	126540925	5
chr5	100226276	100226326	2
chr7	27573985	27574035	1
chr8	86879136	86879187	5
chr2	218231599	218231649	9
chr11	115040692	115040742	3
chr15	94791679	94791729	9
chr4	75240816	75240866	8
chr9	15135274	15135325	5
chr6	55607431	55607482	5
chr1	206904333	206904383	3
chr21	27498405	27498455	8
chr9	92218210	92218260	8
chr7	45283569	45283619	9
chr2	240737739	240737789	8
chr16	73077764	73077814	3
chr2	11857011	11857061	8
chr6	134936012	134936063	5
chr12	52348952	52349003	5
chr3	72475749	72475799	8
chr15	99421036	99421086	8
chr10	49571724	49571775	4
chr2	49253800	49253850	7
chr3	185826999	185827049	3
chr15	99322988	99323039	4
chr7	116062521	116062571	3
chr5	150513956	150514007	5
chr9	84219865	84219915	8
chr9	72004740	72004790	2
chr8	102648321	102648372	5
chr4	89066317	89066367	1
chr2	43265818	43265868	0
chr15	73668400	73668450	2
chr4	14881584	14881634	1
chr17	61671493	61671543	8
chr2	213992475	213992525	3
chrX	130809837	130809887	7
chr12	109715994	109716044	0
chr18	70986265	70986315	9
chr2	158682354	158682404	0
chr15	99029169	99029219	3
chr11	46920539	46920589	6
chr18	9639193	9639243	3
chrX	139994932	139994982	9
chr20	56812285	56812336	4
chr12	99047850	99047901	4
chr3	123347269	123347319	1
chr17	73805022	73805072	2
chr7	132515493	132515543	8
chr2	18061286	18061336	3
chr22	30084084	30084134	8
chr17	79031551	79031601	7
chr2	226861037	226861087	8
chr2	39821051	39821102	4
chr17	62224791	62224841	8
chr8	81279257	81279307	3
chr6	617662	617713	4
chr12	76338314	76338364	0
chr3	177800488	177800538	0
chrX	17513447	17513497	9
chr7	26728223	26728274	5
chr1	172154393	172154443	1
chr4	7863227	7863277	1
chr8	134632637	134632687	1
chr12	13280487	13280538	5
chr7	8054231	8054281	8
chr2	43454394	43454444	3
chr7	75698541	75698591	2
chr7	103032648	103032698	2
chr3	145890529	145890580	5
chr15	73093037	73093087	2
chr2	17003168	17003218	1
chrX	67708724	67708774	9
chr22	34371951	34372001	2
chr1	2718290	2718340	3
chr2	72431627	72431677	1
chr6	142622089	142622139	2
chr11	9110931	9110981	3
chr17	38771675	38771726	5
chrX	119883140	119883190	0
chr17	59800939	59800989	9
chr9	131258360	131258410	1
chr12	123069181	123069231	1
chr10	8799877	8799927	8
chr9	136242114	136242164	0
chr14	85940493	85940543	3
chr14	52899443	52899494	5
chr11	82782954	82783004	2
chr15	85473430	85473480	0
chr12	75374531	75374581	0
chr13	26552448	26552498	8
chr14	21159004	21159054	2
chr15	64455545	64455596	4
chrX	100858454	100858504	2
chr5	139944134	139944184	2
chr6	13456163	13456213	3
chr14	64010013	64010063	3
chr2	11653053	11653103	0
chr7	98520522	98520572	3
chr14	57046176	57046226	6
chr14	70133474	70133524	9
chr6	100564882	100564932	9
chr19	18633505	18633555	2
chr6	75994924	75994975	5
chr9	130659635	130659685	9
chr9	5203222	5203272	3
chr20	61165084	61165134	9
chr18	33077946	33077996	2
chr8	108199714	108199764	1
chr21	46221881	46221931	2
chr5	139641084	139641134	2
chr5	132580153	132580203	1
chr6	90085374	90085425	4
chr2	186667860	186667910	1
chr3	178865089	178865140	4
chr8	101730259	101730309	3
chr6	165325024	165325074	9
chr2	27825286	27825336	1
chr8	69611693	69611743	2
chr6	105720666	105720717	5
chr16	3086295	3086345	2
chr7	92835206	92835256	8
chr7	105471085	105471135	2
chr1	186632002	186632052	1
chr19	45927078	45927128	2
chr18	34879603	34879653	3
chr1	42347939	42347989	2
chr14	49945677	49945727	9
chr6	22288075	22288125	3
chr6	126375664	126375714	2
chr8	74226494	74226544	0
chr17	66288655	66288705	8
chr11	72889263	72889314	4
chr5	78831607	78831657	7
chr22	34261315	34261365	9
chr14	102675708	102675758	7
chr13	111152392	111152442	8
chrX	81213514	81213565	4
chr22	29214728	29214778	8
chr20	24998114	24998165	5
chr14	33296112	33296163	4
chr2	33500891	33500941	3
chr2	215285173	215285223	0
chr7	7996552	7996602	8
chr7	44455455	44455505	9
chr5	159743156	159743206	2
chr12	132345407	132345458	5
chr16	65792684	65792734	7
chr14	71570756	71570807	4
chr12	132319861	132319911	2
chr7	132920169	132920219	9
chr12	53024704	53024754	9
chr6	22249201	22249251	9
chr8	89564466	89564517	5
chr16	68670003	68670053	8
